timestamp,vazao_L_min,pulsos,dc_temp_%,dc_cooler_%
2026-03-15 19:23:48,0.0,0,0,100
2026-03-15 19:23:48,0.0,0,0,100
2026-03-15 19:23:49,0.0,0,0,100
2026-03-15 19:23:49,0.0,0,0,100
2026-03-15 19:23:49,0.0,0,0,100
2026-03-15 19:23:49,0.0,0,0,100
2026-03-15 19:23:49,0.0,0,0,100
2026-03-15 19:23:50,0.0,0,0,100
2026-03-15 19:23:50,0.0,0,0,100
2026-03-15 19:23:50,0.0,0,0,100
2026-03-15 19:23:50,0.0,0,0,100
2026-03-15 19:23:50,0.0,0,0,100
2026-03-15 19:23:51,0.0,0,0,100
2026-03-15 19:23:51,0.0,0,0,100
2026-03-15 19:23:51,0.0,0,0,100
2026-03-15 19:23:51,0.0,0,0,100
2026-03-15 19:23:51,0.0,0,0,100
2026-03-15 19:23:52,0.0,0,0,100
2026-03-15 19:23:52,0.0,0,0,100
2026-03-15 19:23:52,0.0,0,0,100
2026-03-15 19:23:52,0.0,0,0,100
2026-03-15 19:23:52,0.0,0,0,100
2026-03-15 19:23:53,0.0,0,0,100
2026-03-15 19:23:53,0.0,0,0,100
2026-03-15 19:23:53,0.67,1,0,100
2026-03-15 19:23:53,0.0,0,0,100
2026-03-15 19:23:53,0.0,0,0,100
2026-03-15 19:23:54,0.0,0,0,100
2026-03-15 19:23:54,0.0,0,0,100
2026-03-15 19:23:54,0.0,0,0,100
2026-03-15 19:23:54,0.0,0,0,100
2026-03-15 19:23:54,0.0,0,0,100
2026-03-15 19:23:55,0.0,0,0,100
2026-03-15 19:23:55,0.0,0,0,100
2026-03-15 19:23:55,0.0,0,0,100
2026-03-15 19:23:55,0.0,0,0,100
2026-03-15 19:23:55,0.0,0,0,100
2026-03-15 19:23:56,0.0,0,0,100
2026-03-15 19:23:56,0.0,0,0,100
2026-03-15 19:23:56,0.67,1,0,100
2026-03-15 19:23:56,0.67,1,0,100
2026-03-15 19:23:56,0.67,1,0,100
2026-03-15 19:23:57,1.33,2,0,100
2026-03-15 19:23:57,1.33,2,0,100
2026-03-15 19:23:57,2.67,4,0,100
2026-03-15 19:23:57,2.67,4,0,100
2026-03-15 19:23:57,3.33,5,0,100
2026-03-15 19:23:58,3.33,5,0,100
2026-03-15 19:23:58,4.0,6,0,100
2026-03-15 19:23:58,4.67,7,0,100
2026-03-15 19:23:58,4.67,7,0,100
2026-03-15 19:23:58,4.67,7,0,100
2026-03-15 19:23:59,6.0,9,0,100
2026-03-15 19:23:59,5.33,8,0,100
2026-03-15 19:23:59,6.0,9,0,100
2026-03-15 19:23:59,6.67,10,0,100
2026-03-15 19:23:59,6.67,10,0,100
2026-03-15 19:24:00,7.33,11,0,100
2026-03-15 19:24:00,7.33,11,0,100
2026-03-15 19:24:00,8.0,12,0,100
2026-03-15 19:24:00,8.0,12,0,100
2026-03-15 19:24:00,8.0,12,0,100
2026-03-15 19:24:01,8.67,13,0,100
2026-03-15 19:24:01,8.67,13,0,100
2026-03-15 19:24:01,9.33,14,0,100
2026-03-15 19:24:01,8.67,13,0,100
2026-03-15 19:24:01,9.33,14,0,100
2026-03-15 19:24:02,9.33,14,0,100
2026-03-15 19:24:02,9.33,14,0,100
2026-03-15 19:24:02,10.0,15,0,100
2026-03-15 19:24:02,9.33,14,0,100
2026-03-15 19:24:02,10.0,15,0,100
2026-03-15 19:24:03,9.33,14,0,100
2026-03-15 19:24:03,10.0,15,0,100
2026-03-15 19:24:03,10.0,15,0,100
2026-03-15 19:24:03,10.0,15,0,100
2026-03-15 19:24:03,10.0,15,0,100
2026-03-15 19:24:04,10.0,15,0,100
2026-03-15 19:24:04,10.0,15,0,100
2026-03-15 19:24:04,10.67,16,0,100
2026-03-15 19:24:04,10.0,15,0,100
2026-03-15 19:24:04,10.0,15,0,100
2026-03-15 19:24:05,10.0,15,0,100
2026-03-15 19:24:05,10.67,16,0,100
2026-03-15 19:24:05,10.0,15,0,100
2026-03-15 19:24:05,10.0,15,0,100
2026-03-15 19:24:05,10.67,16,0,100
2026-03-15 19:24:06,10.0,15,0,100
2026-03-15 19:24:06,10.67,16,0,100
2026-03-15 19:24:06,10.0,15,0,100
2026-03-15 19:24:06,10.67,16,0,100
2026-03-15 19:24:06,10.0,15,0,100
2026-03-15 19:24:07,10.67,16,0,100
2026-03-15 19:24:07,10.0,15,0,100
2026-03-15 19:24:07,10.0,15,0,100
2026-03-15 19:24:07,10.67,16,0,100
2026-03-15 19:24:07,10.0,15,0,100
2026-03-15 19:24:08,10.0,15,0,100
2026-03-15 19:24:08,10.0,15,0,100
2026-03-15 19:24:08,10.67,16,0,100
2026-03-15 19:24:08,10.0,15,0,100
2026-03-15 19:24:08,10.0,15,0,100
2026-03-15 19:24:09,10.0,15,0,100
2026-03-15 19:24:09,10.0,15,0,100
2026-03-15 19:24:09,10.0,15,0,100
2026-03-15 19:24:09,10.0,15,0,100
2026-03-15 19:24:09,10.0,15,0,100
2026-03-15 19:24:10,10.0,15,0,100
2026-03-15 19:24:10,10.0,15,0,100
2026-03-15 19:24:10,9.33,14,0,100
2026-03-15 19:24:10,10.0,15,0,100
2026-03-15 19:24:10,10.0,15,0,100
2026-03-15 19:24:11,10.0,15,0,100
2026-03-15 19:24:11,9.33,14,0,100
2026-03-15 19:24:11,10.0,15,0,100
2026-03-15 19:24:11,10.0,15,0,100
2026-03-15 19:24:11,10.0,15,0,100
2026-03-15 19:24:12,9.33,14,0,100
2026-03-15 19:24:12,10.0,15,0,100
2026-03-15 19:24:12,10.0,15,0,100
2026-03-15 19:24:12,10.0,15,0,100
2026-03-15 19:24:12,10.0,15,0,100
2026-03-15 19:24:13,10.0,15,0,100
2026-03-15 19:24:13,10.0,15,0,100
2026-03-15 19:24:13,10.0,15,0,100
2026-03-15 19:24:13,10.0,15,0,100
2026-03-15 19:24:13,10.0,15,0,100
2026-03-15 19:24:14,10.0,15,0,100
2026-03-15 19:24:14,10.0,15,0,100
2026-03-15 19:24:14,10.0,15,0,100
2026-03-15 19:24:14,10.0,15,0,100
2026-03-15 19:24:14,10.0,15,0,100
2026-03-15 19:24:15,10.0,15,0,100
2026-03-15 19:24:15,10.0,15,0,100
2026-03-15 19:24:15,10.0,15,0,100
2026-03-15 19:24:15,10.0,15,0,100
