timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-03-04 13:41:12,39.25,0.0,6,29,ON
2026-03-04 13:41:14,39.28,0.0,6,30,ON
2026-03-04 13:41:16,39.17,0.0,6,30,ON
2026-03-04 13:41:18,39.28,0.0,6,29,ON
2026-03-04 13:41:20,39.38,0.0,6,29,ON
2026-03-04 13:41:22,39.25,0.0,6,30,ON
2026-03-04 13:41:24,39.3,0.0,6,29,ON
2026-03-04 13:41:26,39.36,0.0,6,29,ON
2026-03-04 13:41:28,39.43,0.0,6,29,ON
2026-03-04 13:41:30,39.28,0.0,6,31,ON
2026-03-04 13:41:32,39.46,0.0,6,28,ON
2026-03-04 13:41:34,39.54,0.0,6,29,ON
2026-03-04 13:41:36,39.41,0.0,6,30,ON
2026-03-04 13:41:38,39.36,0.0,6,29,ON
2026-03-04 13:41:40,39.49,0.0,6,28,ON
2026-03-04 13:41:42,39.57,0.0,6,29,ON
2026-03-04 13:41:44,39.54,0.0,7,29,ON
2026-03-04 13:41:46,39.57,0.0,7,28,ON
2026-03-04 13:41:48,39.62,0.0,7,28,ON
2026-03-04 13:41:50,39.51,0.0,7,29,ON
2026-03-04 13:41:52,39.59,0.0,7,28,ON
2026-03-04 13:41:54,39.51,0.0,7,30,ON
2026-03-04 13:41:56,39.57,0.0,7,28,ON
2026-03-04 13:41:58,39.51,0.0,7,29,ON
2026-03-04 13:42:00,39.51,0.0,7,29,ON
2026-03-04 13:42:02,39.43,0.0,7,30,ON
2026-03-04 13:42:04,39.62,0.0,7,27,ON
2026-03-04 13:42:06,39.49,0.0,7,30,ON
2026-03-04 13:42:08,39.51,0.0,7,28,ON
2026-03-04 13:42:10,39.51,0.0,7,29,ON
2026-03-04 13:42:12,39.51,0.0,7,29,ON
2026-03-04 13:42:14,39.51,0.0,7,29,ON
2026-03-04 13:42:16,39.54,0.0,7,29,ON
2026-03-04 13:42:18,39.67,0.0,7,28,ON
2026-03-04 13:42:20,39.67,0.0,7,29,ON
2026-03-04 13:42:22,39.59,0.0,7,29,ON
2026-03-04 13:42:24,39.67,0.0,7,28,ON
2026-03-04 13:42:26,39.67,0.0,7,29,ON
2026-03-04 13:42:28,39.73,0.0,7,28,ON
2026-03-04 13:42:30,39.59,0.0,7,30,ON
2026-03-04 13:42:32,39.62,0.0,7,28,ON
2026-03-04 13:42:34,39.54,0.0,7,30,ON
2026-03-04 13:42:36,39.59,0.0,7,28,ON
2026-03-04 13:42:38,39.7,0.0,8,28,ON
2026-03-04 13:42:40,39.51,0.0,8,30,ON
2026-03-04 13:42:42,39.51,0.0,8,29,ON
2026-03-04 13:42:44,39.59,0.0,8,29,ON
2026-03-04 13:42:46,39.7,0.0,8,28,ON
2026-03-04 13:42:48,39.51,0.0,8,30,ON
2026-03-04 13:42:50,39.57,0.0,8,28,ON
2026-03-04 13:42:52,39.59,0.0,8,29,ON
2026-03-04 13:42:54,39.59,0.0,8,29,ON
2026-03-04 13:42:56,39.67,0.0,8,28,ON
2026-03-04 13:42:58,39.57,0.0,8,30,ON
2026-03-04 13:43:00,39.57,0.0,8,29,ON
2026-03-04 13:43:02,39.67,0.0,8,28,ON
2026-03-04 13:43:04,39.62,0.0,8,29,ON
2026-03-04 13:43:06,39.43,0.0,8,30,ON
2026-03-04 13:43:08,39.59,0.0,8,28,ON
2026-03-04 13:43:10,39.75,0.0,8,28,ON
