t_ms,vazao_Lmin,fase
46800,19.3333,DEGRAU
47000,16.6667,DEGRAU
47200,17.3333,DEGRAU
47400,16.6667,DEGRAU
47600,17.3333,DEGRAU
47800,16.6667,DEGRAU
48000,16.0,DEGRAU
48200,16.6667,DEGRAU
48400,16.0,DEGRAU
48600,15.3333,DEGRAU
48800,15.3333,DEGRAU
49000,16.6667,DEGRAU
49200,15.3333,DEGRAU
49400,16.0,DEGRAU
49600,17.3333,DEGRAU
49800,18.6667,DEGRAU
50000,18.0,DEGRAU
50200,17.3333,DEGRAU
50400,14.6667,DEGRAU
50600,17.3333,DEGRAU
50800,16.0,DEGRAU
51000,16.0,DEGRAU
51200,15.3333,DEGRAU
51400,14.6667,DEGRAU
51600,18.0,DEGRAU
51800,17.3333,DEGRAU
52000,17.3333,DEGRAU
52200,17.3333,DEGRAU
52400,17.3333,DEGRAU
52600,16.6667,DEGRAU
52800,19.3333,DEGRAU
53000,17.3333,DEGRAU
53200,16.0,DEGRAU
53400,16.0,DEGRAU
53600,16.6667,DEGRAU
53800,18.0,DEGRAU
54000,20.0,DEGRAU
54200,16.0,DEGRAU
54400,19.3333,DEGRAU
54600,17.3333,DEGRAU
54800,18.0,DEGRAU
55000,16.6667,DEGRAU
55200,15.3333,DEGRAU
55400,19.3333,DEGRAU
55600,14.0,DEGRAU
55800,17.3333,DEGRAU
56000,17.3333,DEGRAU
56200,16.0,DEGRAU
56400,18.0,DEGRAU
56600,16.6667,DEGRAU
56800,18.0,DEGRAU
57000,16.0,DEGRAU
57200,16.6667,DEGRAU
57400,18.0,DEGRAU
57600,15.3333,DEGRAU
57800,14.6667,DEGRAU
58000,18.0,DEGRAU
58200,16.0,DEGRAU
58400,17.3333,DEGRAU
58600,17.3333,DEGRAU
58800,16.0,DEGRAU
59000,16.6667,DEGRAU
59200,16.0,DEGRAU
59400,15.3333,DEGRAU
59600,17.3333,DEGRAU
59800,15.3333,DEGRAU
60000,19.3333,DEGRAU
60200,16.6667,DEGRAU
60400,18.6667,DEGRAU
60600,14.6667,DEGRAU
60800,16.0,DEGRAU
61000,17.3333,DEGRAU
61200,18.0,DEGRAU
61400,19.3333,DEGRAU
61600,18.0,DEGRAU
61800,16.6667,DEGRAU
62000,17.3333,DEGRAU
62200,18.0,DEGRAU
62400,14.0,DEGRAU
62600,17.3333,DEGRAU
62800,17.3333,DEGRAU
63000,17.3333,DEGRAU
63200,15.3333,DEGRAU
63400,14.6667,DEGRAU
63600,16.6667,DEGRAU
63800,16.6667,DEGRAU
64000,16.0,DEGRAU
64200,19.3333,DEGRAU
64400,17.3333,DEGRAU
64600,18.6667,DEGRAU
64800,18.0,DEGRAU
65000,16.6667,DEGRAU
65200,17.3333,DEGRAU
65400,15.3333,DEGRAU
65600,16.0,DEGRAU
65800,16.6667,DEGRAU
66000,15.3333,DEGRAU
66200,16.0,DEGRAU
66400,15.3333,DEGRAU
66600,17.3333,DEGRAU
66800,17.3333,DEGRAU
67000,18.0,DEGRAU
67200,18.6667,DEGRAU
67400,16.0,DEGRAU
67600,18.0,DEGRAU
67800,17.3333,DEGRAU
68000,16.6667,DEGRAU
68200,17.3333,DEGRAU
68400,16.0,DEGRAU
68600,14.6667,DEGRAU
68800,15.3333,DEGRAU
69000,15.3333,DEGRAU
69200,17.3333,DEGRAU
69400,16.6667,DEGRAU
69600,18.0,DEGRAU
69800,15.3333,DEGRAU
70000,17.3333,DEGRAU
70200,16.0,DEGRAU
70400,20.0,DEGRAU
70600,17.3333,DEGRAU
70800,16.6667,DEGRAU
71000,18.6667,DEGRAU
71200,16.6667,DEGRAU
71400,18.0,DEGRAU
71600,14.6667,DEGRAU
71800,18.0,DEGRAU
72000,18.0,DEGRAU
72200,16.0,DEGRAU
72400,16.0,DEGRAU
72600,18.6667,DEGRAU
72800,16.0,DEGRAU
73000,16.0,DEGRAU
73200,16.6667,DEGRAU
73400,16.6667,DEGRAU
73600,17.3333,DEGRAU
73800,16.0,DEGRAU
74000,18.6667,DEGRAU
74200,16.6667,DEGRAU
74400,18.0,DEGRAU
74600,16.6667,DEGRAU
74800,15.3333,DEGRAU
75000,18.6667,DEGRAU
75200,15.3333,DEGRAU
75400,15.3333,DEGRAU
75600,16.0,DEGRAU
75800,16.6667,DEGRAU
76000,15.3333,DEGRAU
76200,16.0,DEGRAU
76400,18.6667,DEGRAU
76600,15.3333,DEGRAU
76800,18.0,DEGRAU
77000,16.6667,DEGRAU
77200,15.3333,DEGRAU
77400,14.6667,DEGRAU
77600,15.3333,DEGRAU
77800,18.0,DEGRAU
78000,16.0,DEGRAU
78200,16.0,DEGRAU
78400,16.0,DEGRAU
78600,18.0,DEGRAU
78800,17.3333,DEGRAU
79000,14.6667,DEGRAU
79200,17.3333,DEGRAU
79400,18.6667,DEGRAU
79600,17.3333,DEGRAU
79800,13.3333,DEGRAU
80000,17.3333,DEGRAU
