timestamp,temperatura_C,dc_temp_%,dc_cooler_%
2026-03-15 18:45:04,24.51,100,0
2026-03-15 18:45:06,24.59,100,0
2026-03-15 18:45:08,24.62,100,0
2026-03-15 18:45:10,24.57,100,0
2026-03-15 18:45:12,24.48,100,0
2026-03-15 18:45:14,24.51,100,0
2026-03-15 18:45:16,24.42,100,0
2026-03-15 18:45:18,24.4,100,0
2026-03-15 18:45:20,24.44,100,0
2026-03-15 18:45:22,24.35,100,0
2026-03-15 18:45:24,24.4,100,0
2026-03-15 18:45:26,24.42,100,0
2026-03-15 18:45:28,24.35,100,0
2026-03-15 18:45:30,24.42,100,0
2026-03-15 18:45:32,24.35,100,0
2026-03-15 18:45:34,24.4,100,0
2026-03-15 18:45:36,24.31,100,0
2026-03-15 18:45:38,24.53,100,0
2026-03-15 18:45:40,24.53,100,0
2026-03-15 18:45:42,24.66,100,0
2026-03-15 18:45:44,25.01,100,0
2026-03-15 18:45:46,25.23,100,0
2026-03-15 18:45:48,25.34,100,0
2026-03-15 18:45:50,25.63,100,0
2026-03-15 18:45:52,25.92,100,0
2026-03-15 18:45:54,26.07,100,0
2026-03-15 18:45:56,26.45,100,0
2026-03-15 18:45:58,26.76,100,0
2026-03-15 18:46:00,27.03,100,0
2026-03-15 18:46:02,27.54,100,0
2026-03-15 18:46:04,27.83,100,0
2026-03-15 18:46:06,28.24,100,0
2026-03-15 18:46:08,28.76,100,0
2026-03-15 18:46:10,28.96,100,0
2026-03-15 18:46:12,29.49,100,0
2026-03-15 18:46:14,29.85,100,0
2026-03-15 18:46:16,30.32,100,0
2026-03-15 18:46:18,30.75,100,0
2026-03-15 18:46:20,31.15,100,0
2026-03-15 18:46:22,31.55,100,0
2026-03-15 18:46:24,31.92,100,0
2026-03-15 18:46:26,32.49,100,0
2026-03-15 18:46:28,32.85,100,0
2026-03-15 18:46:30,33.28,100,0
2026-03-15 18:46:32,33.78,100,0
2026-03-15 18:46:34,34.19,100,0
2026-03-15 18:46:36,34.73,100,0
2026-03-15 18:46:38,35.0,100,0
2026-03-15 18:46:40,35.39,100,0
2026-03-15 18:46:42,35.97,100,0
2026-03-15 18:46:44,36.32,100,0
2026-03-15 18:46:46,36.97,100,0
2026-03-15 18:46:48,36.97,100,0
2026-03-15 18:46:50,37.51,100,0
2026-03-15 18:46:52,37.84,100,0
2026-03-15 18:46:54,38.41,100,0
2026-03-15 18:46:56,38.62,100,0
2026-03-15 18:46:58,39.14,100,0
2026-03-15 18:47:00,39.41,100,0
2026-03-15 18:47:02,39.86,100,0
2026-03-15 18:47:04,40.32,100,0
2026-03-15 18:47:06,40.59,100,0
2026-03-15 18:47:08,40.86,100,0
2026-03-15 18:47:10,41.16,100,0
2026-03-15 18:47:12,41.6,100,0
2026-03-15 18:47:14,41.99,100,0
2026-03-15 18:47:16,42.35,100,0
2026-03-15 18:47:18,42.49,100,0
2026-03-15 18:47:20,42.94,100,0
2026-03-15 18:47:22,43.31,100,0
2026-03-15 18:47:24,43.6,100,0
2026-03-15 18:47:26,43.86,100,0
2026-03-15 18:47:28,44.0,100,0
2026-03-15 18:47:30,44.35,100,0
2026-03-15 18:47:32,44.62,100,0
2026-03-15 18:47:34,44.97,100,0
2026-03-15 18:47:36,45.24,100,0
2026-03-15 18:47:38,45.54,100,0
2026-03-15 18:47:40,45.84,100,0
2026-03-15 18:47:42,46.23,100,0
2026-03-15 18:47:44,46.41,100,0
2026-03-15 18:47:46,46.75,100,0
2026-03-15 18:47:48,46.97,100,0
2026-03-15 18:47:50,47.22,100,0
2026-03-15 18:47:52,47.5,100,0
2026-03-15 18:47:54,47.65,100,0
2026-03-15 18:47:56,47.94,100,0
2026-03-15 18:47:58,48.16,100,0
2026-03-15 18:48:00,48.38,100,0
2026-03-15 18:48:02,48.64,100,0
2026-03-15 18:48:04,48.7,100,0
2026-03-15 18:48:06,48.93,100,0
2026-03-15 18:48:08,49.29,100,0
2026-03-15 18:48:10,49.29,100,0
2026-03-15 18:48:12,49.61,100,0
2026-03-15 18:48:14,49.88,100,0
2026-03-15 18:48:16,50.08,100,0
2026-03-15 18:48:18,50.31,100,0
2026-03-15 18:48:20,50.51,100,0
2026-03-15 18:48:22,50.88,100,0
2026-03-15 18:48:24,51.02,100,0
2026-03-15 18:48:26,51.36,100,0
2026-03-15 18:48:28,51.43,100,0
2026-03-15 18:48:30,51.57,100,0
2026-03-15 18:48:32,52.06,100,0
2026-03-15 18:48:34,52.27,100,0
2026-03-15 18:48:36,52.41,100,0
2026-03-15 18:48:38,52.51,100,0
2026-03-15 18:48:40,52.55,100,0
2026-03-15 18:48:42,52.51,100,0
2026-03-15 18:48:44,52.55,100,0
2026-03-15 18:48:46,52.69,100,0
2026-03-15 18:48:48,52.94,100,0
2026-03-15 18:48:50,53.12,100,0
2026-03-15 18:48:52,53.33,100,0
2026-03-15 18:48:54,53.59,100,0
2026-03-15 18:48:56,53.7,100,0
2026-03-15 18:48:58,53.77,100,0
2026-03-15 18:49:00,53.91,100,0
2026-03-15 18:49:02,53.99,100,0
2026-03-15 18:49:04,53.88,100,0
2026-03-15 18:49:06,54.1,100,0
2026-03-15 18:49:08,54.06,100,0
2026-03-15 18:49:10,54.43,100,0
2026-03-15 18:49:12,54.65,100,0
2026-03-15 18:49:14,54.88,100,0
2026-03-15 18:49:16,55.07,100,0
2026-03-15 18:49:18,55.18,100,0
2026-03-15 18:49:20,55.26,100,0
2026-03-15 18:49:22,55.41,100,0
2026-03-15 18:49:24,55.48,100,0
2026-03-15 18:49:26,55.52,100,0
2026-03-15 18:49:28,55.83,100,0
2026-03-15 18:49:30,55.91,100,0
2026-03-15 18:49:32,56.18,100,0
2026-03-15 18:49:34,56.06,100,0
2026-03-15 18:49:36,56.33,100,0
2026-03-15 18:49:38,56.33,100,0
2026-03-15 18:49:40,56.25,100,0
2026-03-15 18:49:42,56.25,100,0
2026-03-15 18:49:44,56.57,100,0
2026-03-15 18:49:46,56.64,100,0
2026-03-15 18:49:48,56.64,100,0
2026-03-15 18:49:50,56.64,100,0
2026-03-15 18:49:52,56.68,100,0
2026-03-15 18:49:54,56.53,100,0
2026-03-15 18:49:56,56.88,100,0
2026-03-15 18:49:58,56.88,100,0
2026-03-15 18:50:00,57.28,100,0
2026-03-15 18:50:02,57.32,100,0
2026-03-15 18:50:04,57.32,100,0
2026-03-15 18:50:06,57.4,100,0
2026-03-15 18:50:08,57.52,100,0
2026-03-15 18:50:10,57.36,100,0
2026-03-15 18:50:12,57.44,100,0
2026-03-15 18:50:14,57.36,100,0
