timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-03-04 16:16:26,0.0,4.6667,0,OFF
2026-03-04 16:16:26,0.0,4.6667,0,OFF
2026-03-04 16:16:27,0.0,2.6667,0,OFF
2026-03-04 16:16:27,0.0,2.6667,0,OFF
2026-03-04 16:16:27,0.0,0.6667,0,OFF
2026-03-04 16:16:27,0.0,0.0,0,OFF
2026-03-04 16:16:27,0.0,0.0,0,OFF
2026-03-04 16:16:28,0.0,0.0,0,OFF
2026-03-04 16:16:28,0.0,0.0,0,OFF
2026-03-04 16:16:28,0.0,0.0,0,OFF
2026-03-04 16:16:28,0.0,0.0,0,OFF
2026-03-04 16:16:28,0.0,0.0,0,OFF
2026-03-04 16:16:29,0.0,0.0,0,OFF
2026-03-04 16:16:29,0.0,0.0,0,OFF
2026-03-04 16:16:29,0.0,0.0,0,OFF
2026-03-04 16:16:29,0.0,0.0,100,OFF
2026-03-04 16:16:29,0.0,0.0,100,OFF
2026-03-04 16:16:30,0.0,0.0,100,OFF
2026-03-04 16:16:30,0.0,0.6667,100,OFF
2026-03-04 16:16:30,0.0,0.0,100,OFF
2026-03-04 16:16:30,0.0,2.0,100,OFF
2026-03-04 16:16:30,0.0,2.0,100,OFF
2026-03-04 16:16:31,0.0,2.6667,100,OFF
2026-03-04 16:16:31,0.0,2.6667,100,OFF
2026-03-04 16:16:31,0.0,5.3333,100,OFF
2026-03-04 16:16:31,0.0,5.3333,100,OFF
2026-03-04 16:16:31,0.0,6.0,100,OFF
2026-03-04 16:16:32,0.0,6.6667,100,OFF
2026-03-04 16:16:32,0.0,9.3333,100,OFF
2026-03-04 16:16:32,0.0,9.3333,100,OFF
2026-03-04 16:16:32,0.0,8.6667,100,OFF
2026-03-04 16:16:32,0.0,10.0,100,OFF
2026-03-04 16:16:33,0.0,12.0,100,OFF
2026-03-04 16:16:33,0.0,8.0,100,OFF
2026-03-04 16:16:33,0.0,10.6667,100,OFF
2026-03-04 16:16:33,0.0,12.0,100,OFF
2026-03-04 16:16:33,0.0,12.0,100,OFF
2026-03-04 16:16:34,0.0,11.3333,100,OFF
2026-03-04 16:16:34,0.0,12.6667,100,OFF
2026-03-04 16:16:34,0.0,13.3333,100,OFF
2026-03-04 16:16:34,0.0,12.6667,100,OFF
2026-03-04 16:16:34,0.0,13.3333,100,OFF
2026-03-04 16:16:35,0.0,15.3333,100,OFF
2026-03-04 16:16:35,0.0,13.3333,100,OFF
2026-03-04 16:16:35,0.0,14.0,100,OFF
2026-03-04 16:16:35,0.0,14.6667,100,OFF
2026-03-04 16:16:35,0.0,14.6667,100,OFF
2026-03-04 16:16:36,0.0,14.0,100,OFF
2026-03-04 16:16:36,0.0,15.3333,100,OFF
2026-03-04 16:16:36,0.0,14.6667,100,OFF
2026-03-04 16:16:36,0.0,17.3333,100,OFF
2026-03-04 16:16:36,0.0,16.6667,100,OFF
2026-03-04 16:16:37,0.0,15.3333,100,OFF
2026-03-04 16:16:37,0.0,15.3333,100,OFF
2026-03-04 16:16:37,0.0,15.3333,100,OFF
2026-03-04 16:16:37,0.0,18.0,100,OFF
2026-03-04 16:16:37,0.0,17.3333,100,OFF
2026-03-04 16:16:38,0.0,14.0,100,OFF
2026-03-04 16:16:38,0.0,14.6667,100,OFF
2026-03-04 16:16:38,0.0,16.6667,100,OFF
2026-03-04 16:16:38,0.0,14.0,100,OFF
2026-03-04 16:16:38,0.0,15.3333,100,OFF
2026-03-04 16:16:39,0.0,14.0,100,OFF
2026-03-04 16:16:39,0.0,15.3333,100,OFF
2026-03-04 16:16:39,0.0,16.0,100,OFF
2026-03-04 16:16:39,0.0,14.0,100,OFF
2026-03-04 16:16:39,0.0,17.3333,100,OFF
2026-03-04 16:16:40,0.0,14.0,100,OFF
2026-03-04 16:16:40,0.0,13.3333,100,OFF
2026-03-04 16:16:40,0.0,16.0,100,OFF
2026-03-04 16:16:40,0.0,15.3333,100,OFF
2026-03-04 16:16:40,0.0,15.3333,100,OFF
2026-03-04 16:16:41,0.0,14.6667,100,OFF
2026-03-04 16:16:41,0.0,18.6667,100,OFF
2026-03-04 16:16:41,0.0,18.0,100,OFF
2026-03-04 16:16:41,0.0,16.6667,100,OFF
2026-03-04 16:16:41,0.0,18.6667,100,OFF
2026-03-04 16:16:42,0.0,18.0,100,OFF
2026-03-04 16:16:42,0.0,16.0,100,OFF
2026-03-04 16:16:42,0.0,15.3333,100,OFF
2026-03-04 16:16:42,0.0,17.3333,100,OFF
2026-03-04 16:16:42,0.0,16.6667,100,OFF
2026-03-04 16:16:43,0.0,16.6667,100,OFF
