indice,temperatura_C,vazao_L_min,cooler_%,resistencia
212,41.02,0.0,0,ON
213,40.97,0.0,0,ON
214,40.78,0.0,0,ON
215,41.16,0.0,0,ON
216,40.86,0.0,0,ON
217,40.89,0.0,0,ON
218,40.91,0.0,0,ON
219,40.91,0.0,0,ON
220,41.19,0.0,0,ON
221,40.91,0.0,0,ON
222,41.08,0.0,0,ON
223,41.21,0.0,0,ON
224,41.13,0.0,0,ON
225,41.19,0.0,0,ON
226,41.13,0.0,0,ON
227,40.86,0.0,0,ON
228,41.02,0.0,0,ON
229,40.99,0.0,0,ON
230,41.13,0.0,0,ON
231,41.16,0.0,0,ON
232,41.35,0.0,0,ON
233,41.19,0.0,0,ON
234,41.32,0.0,0,ON
235,41.21,0.0,0,ON
236,41.21,0.0,0,ON
237,41.19,0.0,0,ON
238,41.19,0.0,0,ON
239,41.21,0.0,0,ON
240,41.13,0.0,0,ON
241,41.27,0.0,0,ON
242,41.19,0.0,0,ON
243,41.46,0.0,0,ON
244,41.19,0.0,0,ON
245,41.21,0.0,0,ON
246,41.19,0.0,0,ON
247,40.99,0.0,0,ON
248,41.16,0.0,0,ON
249,41.46,0.0,0,ON
250,41.43,0.0,0,ON
251,41.46,0.0,0,ON
252,41.21,0.0,0,ON
253,41.13,0.0,0,ON
254,41.3,0.0,0,ON
255,41.19,0.0,0,ON
256,41.24,0.0,0,ON
257,41.35,0.0,0,ON
258,41.3,0.0,0,ON
259,41.43,0.0,0,ON
260,41.54,0.0,0,ON
261,41.41,0.0,0,ON
262,41.3,0.0,0,ON
263,41.35,0.0,0,ON
264,41.32,0.0,0,ON
265,41.43,0.0,0,ON
266,41.27,0.0,0,ON
267,41.21,0.0,0,ON
268,41.35,0.0,0,ON
269,41.41,0.0,0,ON
270,41.6,0.0,0,ON
271,41.41,0.0,0,ON
272,41.54,0.0,0,ON
273,41.41,0.0,0,ON
274,41.46,0.0,0,ON
275,41.6,0.0,0,ON
276,41.52,0.0,0,ON
277,41.52,0.0,0,ON
278,41.21,0.0,0,ON
279,41.6,0.0,0,ON
280,41.6,0.0,0,ON
281,41.49,0.0,0,ON
282,41.54,0.0,0,ON
283,41.63,0.0,0,ON
284,41.6,0.0,0,ON
