timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-02-26 21:23:09,29.24,0.0,0,ON
2026-02-26 21:23:11,29.24,0.0,0,ON
2026-02-26 21:23:13,29.24,0.0,0,ON
2026-02-26 21:23:15,29.24,0.0,0,ON
2026-02-26 21:23:17,29.28,0.0,0,ON
2026-02-26 21:23:19,29.15,0.0,0,ON
2026-02-26 21:23:21,29.15,0.0,0,ON
2026-02-26 21:23:23,29.21,0.0,0,ON
2026-02-26 21:23:25,29.15,0.0,0,ON
2026-02-26 21:23:27,29.21,0.0,0,ON
2026-02-26 21:23:29,29.17,0.0,0,ON
2026-02-26 21:23:31,29.05,0.0,0,ON
2026-02-26 21:23:33,29.03,0.0,0,ON
2026-02-26 21:23:35,29.15,0.0,0,ON
2026-02-26 21:23:37,29.12,0.0,0,ON
2026-02-26 21:23:39,29.01,0.0,0,ON
2026-02-26 21:23:41,29.19,0.0,0,ON
2026-02-26 21:23:43,29.12,0.0,0,ON
2026-02-26 21:23:45,28.94,0.0,0,ON
2026-02-26 21:23:47,29.03,0.0,0,ON
2026-02-26 21:23:49,29.03,0.0,0,ON
2026-02-26 21:23:51,28.96,0.0,0,ON
2026-02-26 21:23:53,28.96,0.0,0,ON
2026-02-26 21:23:55,28.96,0.0,0,ON
2026-02-26 21:23:57,28.96,0.0,0,ON
2026-02-26 21:23:59,28.94,0.0,0,ON
2026-02-26 21:24:01,28.92,0.0,0,ON
2026-02-26 21:24:03,28.94,0.0,0,ON
2026-02-26 21:24:05,29.01,0.0,0,ON
2026-02-26 21:24:07,28.94,0.0,0,ON
2026-02-26 21:24:09,28.99,0.0,0,ON
2026-02-26 21:24:11,28.92,0.0,0,ON
2026-02-26 21:24:13,28.92,0.0,0,ON
2026-02-26 21:24:15,28.92,0.0,0,ON
