timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-02-26 22:22:12,25.63,0.0,0,ON
2026-02-26 22:22:14,25.74,0.0,0,ON
2026-02-26 22:22:16,25.85,0.0,0,ON
2026-02-26 22:22:18,25.78,0.0,0,ON
2026-02-26 22:22:20,25.83,0.0,0,ON
2026-02-26 22:22:22,25.94,0.0,0,ON
2026-02-26 22:22:24,26.03,0.0,0,ON
2026-02-26 22:22:26,26.11,0.0,0,ON
2026-02-26 22:22:28,26.31,0.0,0,ON
2026-02-26 22:22:30,26.36,0.0,0,ON
2026-02-26 22:22:32,26.51,0.0,0,ON
2026-02-26 22:22:34,26.74,0.0,0,ON
2026-02-26 22:22:36,26.78,0.0,0,ON
2026-02-26 22:22:38,27.0,0.0,0,ON
2026-02-26 22:22:40,27.23,0.0,0,ON
2026-02-26 22:22:42,27.36,0.0,0,ON
2026-02-26 22:22:44,27.52,0.0,0,ON
2026-02-26 22:22:46,27.77,0.0,0,ON
2026-02-26 22:22:48,28.08,0.0,0,ON
2026-02-26 22:22:50,28.22,0.0,0,ON
2026-02-26 22:22:52,28.53,0.0,0,ON
2026-02-26 22:22:54,28.78,0.0,0,ON
2026-02-26 22:22:56,28.99,0.0,0,ON
2026-02-26 22:22:58,29.17,0.0,0,ON
2026-02-26 22:23:00,29.35,0.0,0,ON
2026-02-26 22:23:02,29.69,0.0,0,ON
2026-02-26 22:23:04,29.95,0.0,0,ON
2026-02-26 22:23:06,30.25,0.0,0,ON
2026-02-26 22:23:08,30.41,0.0,0,ON
2026-02-26 22:23:10,30.69,0.0,0,ON
2026-02-26 22:23:12,31.01,0.0,0,ON
2026-02-26 22:23:14,31.2,0.0,0,ON
2026-02-26 22:23:16,31.5,0.0,0,ON
2026-02-26 22:23:18,31.88,0.0,0,ON
2026-02-26 22:23:20,32.09,0.0,0,ON
2026-02-26 22:23:22,32.47,0.0,0,ON
2026-02-26 22:23:24,32.63,0.0,0,ON
2026-02-26 22:23:26,32.97,0.0,0,ON
2026-02-26 22:23:28,33.28,0.0,0,ON
2026-02-26 22:23:30,33.54,0.0,0,ON
2026-02-26 22:23:32,33.76,0.0,0,ON
2026-02-26 22:23:34,34.1,0.0,0,ON
2026-02-26 22:23:36,34.44,0.0,0,ON
2026-02-26 22:23:38,34.8,0.0,0,ON
2026-02-26 22:23:40,34.95,0.0,0,ON
2026-02-26 22:23:42,35.27,0.0,0,ON
2026-02-26 22:23:44,35.47,0.0,0,ON
2026-02-26 22:23:46,35.74,0.0,0,ON
2026-02-26 22:23:48,36.07,0.0,0,ON
2026-02-26 22:23:50,36.39,0.0,0,ON
2026-02-26 22:23:52,36.97,0.0,0,ON
2026-02-26 22:23:54,37.1,0.0,0,ON
2026-02-26 22:23:56,37.35,0.0,0,ON
2026-02-26 22:23:58,37.61,0.0,0,ON
2026-02-26 22:24:00,37.94,0.0,0,ON
2026-02-26 22:24:02,38.18,0.0,0,ON
2026-02-26 22:24:04,38.41,0.0,0,ON
2026-02-26 22:24:06,38.65,0.0,0,ON
2026-02-26 22:24:08,38.96,0.0,0,ON
2026-02-26 22:24:10,39.14,0.0,0,ON
2026-02-26 22:24:12,39.51,0.0,0,ON
2026-02-26 22:24:14,39.73,0.0,0,ON
2026-02-26 22:24:16,39.89,0.0,0,ON
2026-02-26 22:24:18,40.16,0.0,0,ON
2026-02-26 22:24:20,40.45,0.0,0,ON
2026-02-26 22:24:22,40.72,0.0,0,ON
2026-02-26 22:24:24,40.97,0.0,0,ON
2026-02-26 22:24:26,41.24,0.0,0,ON
2026-02-26 22:24:28,41.43,0.0,0,ON
2026-02-26 22:24:30,41.87,0.0,0,ON
2026-02-26 22:24:32,41.9,0.0,0,ON
2026-02-26 22:24:34,42.32,0.0,0,ON
2026-02-26 22:24:36,42.46,0.0,0,ON
2026-02-26 22:24:38,42.57,0.0,0,ON
2026-02-26 22:24:40,42.91,0.0,0,ON
2026-02-26 22:24:42,43.08,0.0,0,ON
2026-02-26 22:24:44,43.31,0.0,0,ON
2026-02-26 22:24:46,43.57,0.0,0,ON
2026-02-26 22:24:48,43.8,0.0,0,ON
2026-02-26 22:24:50,44.15,0.0,0,ON
2026-02-26 22:24:52,44.35,0.0,0,ON
2026-02-26 22:24:54,44.5,0.0,0,ON
2026-02-26 22:24:56,44.76,0.0,0,ON
2026-02-26 22:24:58,45.12,0.0,0,ON
2026-02-26 22:25:00,45.27,0.0,0,ON
2026-02-26 22:25:02,45.36,0.0,0,ON
2026-02-26 22:25:04,45.75,0.0,0,ON
2026-02-26 22:25:06,45.87,0.0,0,ON
2026-02-26 22:25:08,45.93,0.0,0,ON
2026-02-26 22:25:10,46.23,0.0,0,ON
2026-02-26 22:25:12,46.23,0.0,0,ON
2026-02-26 22:25:14,46.57,0.0,0,ON
2026-02-26 22:25:16,46.78,0.0,0,ON
2026-02-26 22:25:18,46.97,0.0,0,ON
2026-02-26 22:25:20,47.22,0.0,0,ON
2026-02-26 22:25:22,47.43,0.0,0,ON
2026-02-26 22:25:24,47.68,0.0,0,ON
2026-02-26 22:25:26,47.91,0.0,0,ON
2026-02-26 22:25:28,48.06,0.0,0,ON
2026-02-26 22:25:30,48.19,0.0,0,ON
2026-02-26 22:25:32,48.51,0.0,0,ON
2026-02-26 22:25:34,48.67,0.0,0,ON
2026-02-26 22:25:36,48.9,0.0,0,ON
