timestamp,temperatura_C,vazao_L_min,cooler_%,resistencia
2026-02-26 21:24:53,28.78,0.0,0,ON
2026-02-26 21:24:55,28.78,0.0,0,ON
2026-02-26 21:24:57,28.85,0.0,0,ON
2026-02-26 21:24:59,28.71,0.0,0,ON
2026-02-26 21:25:01,28.78,0.0,0,ON
2026-02-26 21:25:03,28.85,0.0,0,ON
2026-02-26 21:25:05,28.78,0.0,0,ON
2026-02-26 21:25:07,28.85,0.0,0,ON
2026-02-26 21:25:09,28.9,0.0,0,ON
2026-02-26 21:25:11,28.85,0.0,0,ON
2026-02-26 21:25:13,28.92,0.0,0,ON
2026-02-26 21:25:15,28.94,0.0,0,ON
2026-02-26 21:25:17,28.85,0.0,0,ON
2026-02-26 21:25:19,28.92,0.0,0,ON
2026-02-26 21:25:21,29.17,0.0,0,ON
2026-02-26 21:25:23,29.05,0.0,0,ON
2026-02-26 21:25:25,28.99,0.0,0,ON
2026-02-26 21:25:27,29.12,0.0,0,ON
2026-02-26 21:25:29,29.21,0.0,0,ON
2026-02-26 21:25:31,29.19,0.0,0,ON
2026-02-26 21:25:33,29.28,0.0,0,ON
2026-02-26 21:25:35,29.28,0.0,0,ON
2026-02-26 21:25:37,29.37,0.0,0,ON
2026-02-26 21:25:39,29.53,0.0,0,ON
2026-02-26 21:25:41,29.53,0.0,0,ON
2026-02-26 21:25:43,29.58,0.0,0,ON
2026-02-26 21:25:45,29.65,0.0,0,ON
2026-02-26 21:25:47,29.69,0.0,0,ON
2026-02-26 21:25:49,29.85,0.0,0,ON
2026-02-26 21:25:51,29.95,0.0,0,ON
2026-02-26 21:25:53,30.02,0.0,0,ON
2026-02-26 21:25:55,30.06,0.0,0,ON
2026-02-26 21:25:57,30.18,0.0,0,ON
2026-02-26 21:25:59,30.36,0.0,0,ON
2026-02-26 21:26:01,30.38,0.0,0,ON
2026-02-26 21:26:03,30.43,0.0,0,ON
2026-02-26 21:26:05,30.5,0.0,0,ON
2026-02-26 21:26:07,30.64,0.0,0,ON
2026-02-26 21:26:09,30.71,0.0,0,ON
2026-02-26 21:26:11,30.8,0.0,0,ON
2026-02-26 21:26:13,30.92,0.0,0,ON
2026-02-26 21:26:15,31.13,0.0,0,ON
2026-02-26 21:26:17,31.15,0.0,0,ON
2026-02-26 21:26:19,31.22,0.0,0,ON
2026-02-26 21:26:21,31.34,0.0,0,ON
