temp_C,vazao_L_min,cooler_pct,resistencia
42.01,0.00,0,ON
42.13,0.00,0,ON
42.24,0.00,0,ON
42.41,0.00,0,ON
42.46,0.00,0,ON
42.49,0.00,0,ON
42.49,0.00,0,ON
42.49,0.00,0,ON
42.43,0.00,0,ON
42.46,0.00,0,ON
42.49,0.00,0,ON
42.43,0.00,0,ON
42.46,0.00,0,ON
42.41,0.00,0,ON
42.49,0.00,0,ON
42.32,0.00,0,ON
42.38,0.00,0,ON
42.35,0.00,0,ON
42.41,0.00,0,ON
42.38,0.00,0,ON
42.49,0.00,0,ON
42.46,0.00,0,ON
42.46,0.00,0,ON
42.57,0.00,0,ON
42.49,0.00,0,ON
42.55,0.00,0,ON
42.63,0.00,0,ON
42.57,0.00,0,ON
42.63,0.00,0,ON
42.66,0.00,0,ON
42.57,0.00,0,ON
42.63,0.00,0,ON
42.77,0.00,0,ON
42.80,0.00,0,ON
42.80,0.00,0,ON
42.86,0.00,0,ON
42.86,0.00,0,ON
42.83,0.00,0,ON
42.86,0.00,0,ON
42.80,0.00,0,ON
42.86,0.00,0,ON
42.97,0.00,0,ON
43.03,0.00,0,ON
43.08,0.00,0,ON
43.03,0.00,0,ON
43.11,0.00,0,ON
43.14,0.00,0,ON
43.20,0.00,0,ON
43.23,0.00,0,ON
43.25,0.00,0,ON
43.20,0.00,0,ON
43.25,0.00,0,ON
43.40,0.00,0,ON
43.37,0.00,0,ON
43.34,0.00,0,ON
43.37,0.00,0,ON
43.37,0.00,0,ON
43.40,0.00,0,ON
43.40,0.00,0,ON
43.40,0.00,0,ON
43.40,0.00,0,ON
43.40,0.00,0,ON
43.40,0.00,0,ON
43.45,0.00,0,ON
43.51,0.00,0,ON
43.54,0.00,0,ON
43.48,0.00,0,ON
43.57,0.00,0,ON
43.48,0.00,0,ON
43.60,0.00,0,ON
43.68,0.00,0,ON
43.60,0.00,0,ON
43.66,0.00,0,ON
43.57,0.00,0,ON
43.54,0.00,0,ON
43.60,0.00,0,ON
43.60,0.00,0,ON
43.66,0.00,0,ON
43.60,0.00,0,ON
43.60,0.00,0,ON
43.66,0.00,0,ON
43.66,0.00,0,ON
43.66,0.00,0,ON
43.80,0.00,0,ON
43.77,0.00,0,ON
43.83,0.00,0,ON
43.83,0.00,0,ON
43.83,0.00,0,ON
43.86,0.00,0,ON
43.86,0.00,0,ON
43.89,0.00,0,ON
43.86,0.00,0,ON
43.80,0.00,0,ON
43.86,0.00,0,ON
43.89,0.00,0,ON
43.86,0.00,0,ON
44.00,0.00,0,ON
43.89,0.00,0,ON
43.86,0.00,0,ON
43.86,0.00,0,ON
43.86,0.00,0,ON
43.89,0.00,0,ON
43.94,0.00,0,ON
43.97,0.00,0,ON
43.92,0.00,0,ON
43.89,0.00,0,ON
43.97,0.00,0,ON
43.94,0.00,0,ON
43.97,0.00,0,ON
43.92,0.00,0,ON
44.00,0.00,0,ON
44.00,0.00,0,ON
43.97,0.00,0,ON
44.00,0.00,0,ON
44.12,0.00,0,ON
44.03,0.00,0,ON
44.12,0.00,0,ON
44.24,0.00,0,ON
44.21,0.00,0,ON
44.18,0.00,0,ON
44.15,0.00,0,ON
44.26,0.00,0,ON
44.18,0.00,0,ON
44.24,0.00,0,ON
44.15,0.00,0,ON
44.15,0.00,0,ON
44.24,0.00,0,ON
44.24,0.00,0,ON
44.24,0.00,0,ON
44.18,0.00,0,ON
44.24,0.00,0,ON
44.15,0.00,0,ON
44.24,0.00,0,ON
44.26,0.00,0,ON
44.29,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.29,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.26,0.00,0,ON
44.32,0.00,0,ON
44.29,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.35,0.00,0,ON
44.32,0.00,0,ON
44.29,0.00,0,ON
44.35,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.29,0.00,0,ON
44.26,0.00,0,ON
44.29,0.00,0,ON
44.26,0.00,0,ON
44.24,0.00,0,ON
44.32,0.00,0,ON
44.24,0.00,0,ON
44.21,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.32,0.00,0,ON
44.35,0.00,0,ON
44.35,0.00,0,ON
44.38,0.00,0,ON
44.47,0.00,0,ON
44.50,0.00,0,ON
44.44,0.00,0,ON
44.44,0.00,0,ON
44.41,0.00,0,ON
44.50,0.00,0,ON
44.50,0.00,0,ON
44.64,0.00,0,ON
44.50,0.00,0,ON
44.53,0.00,0,ON
44.64,0.00,0,ON
44.59,0.00,0,ON
44.59,0.00,0,ON
44.50,0.00,0,ON
44.53,0.00,0,ON
44.53,0.00,0,ON
44.53,0.00,0,ON
44.53,0.00,0,ON
44.53,0.00,0,ON
44.64,0.00,0,ON
44.70,0.00,0,ON
44.59,0.00,0,ON
44.62,0.00,0,ON
44.76,0.00,0,ON
44.76,0.00,0,ON
44.88,0.00,0,ON
44.88,0.00,0,ON
44.91,0.00,0,ON
44.91,0.00,0,ON
44.91,0.00,0,ON
44.94,0.00,0,ON
44.91,0.00,0,ON
44.97,0.00,0,ON
45.00,0.00,0,ON
45.12,0.00,0,ON
45.06,0.00,0,ON
45.24,0.00,0,ON
45.27,0.00,0,ON
45.21,0.00,0,ON
45.21,0.00,0,ON
45.27,0.00,0,ON
45.30,0.00,0,ON
45.30,0.00,0,ON
45.27,0.00,0,ON
45.27,0.00,0,ON
45.33,0.00,0,ON
45.45,0.00,0,ON
45.45,0.00,0,ON
45.42,0.00,0,ON
45.54,0.00,0,ON
45.60,0.00,0,ON
45.60,0.00,0,ON
45.60,0.00,0,ON
45.69,0.00,0,ON
45.72,0.00,0,ON
45.66,0.00,0,ON
45.69,0.00,0,ON
44.53,0.00,0,ON
44.76,0.00,0,ON
44.76,0.00,0,ON
44.97,0.00,0,ON
45.15,0.00,0,ON
45.27,0.00,0,ON
45.42,0.00,0,ON
45.66,0.00,0,ON
45.72,0.00,0,ON
45.84,0.00,0,ON
46.05,0.00,0,ON
46.23,0.00,0,ON
46.57,0.00,0,ON
46.72,0.00,0,ON
47.00,0.00,0,ON
47.22,0.00,0,ON
47.43,0.00,0,ON
47.68,0.00,0,ON
47.81,0.00,0,ON
48.06,0.00,0,ON
48.19,0.00,0,ON
48.25,0.00,0,ON
48.45,0.00,0,ON
48.51,0.00,0,ON
48.64,0.00,0,ON
48.93,0.00,0,ON
49.06,0.00,0,ON
49.19,0.00,0,ON
49.32,0.00,0,ON
49.45,0.00,0,ON
49.61,0.00,0,ON
49.78,0.00,0,ON
49.78,0.00,0,ON
49.88,0.00,0,ON
50.08,0.00,0,ON
50.11,0.00,0,ON
50.31,0.00,0,ON
50.31,0.00,0,ON
50.38,0.00,0,ON
50.61,0.00,0,ON
50.61,0.00,0,ON
50.85,0.00,0,ON
50.88,0.00,0,ON
50.92,0.00,0,ON
51.19,0.00,0,ON
51.23,0.00,0,ON
51.36,0.00,0,ON
51.43,0.00,0,ON
51.50,0.00,0,ON
51.53,0.00,0,ON
51.67,0.00,0,ON
51.99,0.00,0,ON
